panel,curve,t_s_after_0121,value
normal_acceleration,ink_top,71.325,0.9785
normal_acceleration,ink_bottom,71.943,0.9631
normal_acceleration,ink_top,71.943,0.9785
normal_acceleration,ink_bottom,72.562,0.9631
normal_acceleration,ink_top,72.562,0.9785
normal_acceleration,ink_bottom,73.180,0.9631
normal_acceleration,ink_top,73.180,0.9785
normal_acceleration,ink_bottom,73.799,0.9631
normal_acceleration,ink_top,73.799,0.9785
normal_acceleration,ink_bottom,74.417,0.9631
normal_acceleration,ink_top,74.417,0.9785
normal_acceleration,ink_bottom,75.035,0.9631
normal_acceleration,ink_top,75.035,0.9785
normal_acceleration,ink_bottom,75.654,0.9631
normal_acceleration,ink_top,75.654,0.9785
normal_acceleration,ink_bottom,76.272,0.9631
normal_acceleration,ink_top,76.272,0.9785
normal_acceleration,ink_bottom,76.890,0.9631
normal_acceleration,ink_top,76.890,0.9785
normal_acceleration,ink_bottom,77.509,0.9631
normal_acceleration,ink_top,77.509,0.9631
normal_acceleration,ink_bottom,78.127,0.9477
normal_acceleration,ink_top,78.127,0.9631
normal_acceleration,ink_bottom,78.746,0.9477
normal_acceleration,ink_top,78.746,0.9631
normal_acceleration,ink_bottom,79.364,0.9477
normal_acceleration,ink_top,79.364,0.9631
normal_acceleration,ink_bottom,79.982,0.9477
normal_acceleration,ink_top,79.982,0.9631
normal_acceleration,ink_bottom,80.601,0.9631
normal_acceleration,ink_top,80.601,0.9631
normal_acceleration,ink_bottom,81.219,0.9631
normal_acceleration,ink_top,81.219,0.9785
normal_acceleration,ink_bottom,81.837,0.9631
normal_acceleration,ink_top,81.837,0.9785
normal_acceleration,ink_bottom,82.456,0.9631
normal_acceleration,ink_top,82.456,0.9785
normal_acceleration,ink_bottom,83.074,0.9631
normal_acceleration,ink_top,83.074,0.9785
normal_acceleration,ink_bottom,83.693,0.9631
normal_acceleration,ink_top,83.693,0.9785
normal_acceleration,ink_bottom,84.311,0.9631
normal_acceleration,ink_top,84.311,0.9785
normal_acceleration,ink_bottom,84.929,0.9631
normal_acceleration,ink_top,84.929,0.9785
normal_acceleration,ink_bottom,85.548,0.9631
normal_acceleration,ink_top,85.548,0.9785
normal_acceleration,ink_bottom,86.166,0.9631
normal_acceleration,ink_top,86.166,0.9785
normal_acceleration,ink_bottom,86.784,0.9631
normal_acceleration,ink_top,86.784,0.9785
normal_acceleration,ink_bottom,87.403,0.9631
normal_acceleration,ink_top,87.403,0.9631
normal_acceleration,ink_bottom,88.021,0.9631
normal_acceleration,ink_top,88.021,0.9631
normal_acceleration,ink_bottom,88.640,0.9477
normal_acceleration,ink_top,88.640,0.9631
normal_acceleration,ink_bottom,89.258,0.9477
normal_acceleration,ink_top,89.258,0.9631
normal_acceleration,ink_bottom,89.876,0.9477
normal_acceleration,ink_top,89.876,0.9631
normal_acceleration,ink_bottom,90.495,0.9477
normal_acceleration,ink_top,90.495,0.9631
normal_acceleration,ink_bottom,91.113,0.9477
normal_acceleration,ink_top,91.113,0.9631
normal_acceleration,ink_bottom,91.731,0.9631
normal_acceleration,ink_top,91.731,0.9631
normal_acceleration,ink_bottom,92.350,0.9631
normal_acceleration,ink_top,92.350,0.9631
normal_acceleration,ink_bottom,92.968,0.9631
normal_acceleration,ink_top,92.968,0.9785
normal_acceleration,ink_bottom,93.587,0.9631
normal_acceleration,ink_top,93.587,0.9785
normal_acceleration,ink_bottom,94.205,0.9631
normal_acceleration,ink_top,94.205,0.9785
normal_acceleration,ink_bottom,94.823,0.9631
normal_acceleration,ink_top,94.823,0.9785
normal_acceleration,ink_bottom,95.442,0.9631
normal_acceleration,ink_top,95.442,0.9785
normal_acceleration,ink_bottom,96.060,0.9631
normal_acceleration,ink_top,96.060,0.9785
normal_acceleration,ink_bottom,96.678,0.9631
normal_acceleration,ink_top,96.678,0.9785
